Epoch 1:	Train errors: 434220	Val errors: 8929
Epoch 2:	Train errors: 210993	Val errors: 7192
Epoch 3:	Train errors: 167777	Val errors: 6118
Epoch 4:	Train errors: 142354	Val errors: 5758
Epoch 5:	Train errors: 123409	Val errors: 5594
Epoch 6:	Train errors: 105378	Val errors: 5309
Epoch 7:	Train errors: 89245	Val errors: 5286
Epoch 8:	Train errors: 75655	Val errors: 5229
Epoch 9:	Train errors: 62946	Val errors: 5199
Epoch 10:	Train errors: 53146	Val errors: 5192
Epoch 11:	Train errors: 41972	Val errors: 5069
Epoch 12:	Train errors: 31259	Val errors: 5053
Epoch 13:	Train errors: 23520	Val errors: 4996
Epoch 14:	Train errors: 16889	Val errors: 4996
Epoch 15:	Train errors: 12590	Val errors: 4996
Epoch 16:	Train errors: 8715	Val errors: 4956
Epoch 17:	Train errors: 6361	Val errors: 4889
Epoch 18:	Train errors: 4458	Val errors: 4889
